date,SWC_1_2_1,ebr,LE_PI_F,vp,ETrF_filtered,ETrF,LW_OUT,rso,input_G,SW_IN,SW_OUT,LW_IN,flux,WD,SWC_1_1_1,flux_corr,theta_mean,H_PI_F,energy,WS,ebc_cf,ebr_corr,NETRAD,T_SONIC,ebr_5day_clim,VPD_PI,H_corr,LE_corr,LE_subday_gaps,ET_fill,G_subday_gaps,ET_gap,H_subday_gaps,ET_corr,gridMET_prcp,ET,Rn_subday_gaps,ET_fill_val,gridMET_ETr
2015-02-28,48.93302827380952,0.893308463656432,38.253335579613086,1.9365349808736316,0.5465104609562675,0.54105321715063,365.12065622991076,185.83258910775172,-0.7580122113095241,141.48101759449403,32.75267857514881,308.01531643154766,46.79240082142856,219.85665106558642,34.392636532738095,52.219273802807386,41.66283240327381,8.539065241815477,52.381011403273796,2.2989896489197523,1.1222458248448048,0.996912285652119,51.622999191964276,24.551581811728393,0.8421267981146511,0.3821232564732143,9.789375220843166,42.42989858196423,0.0,41.99489158935711,0.0,0.0,0.0,42.00833869240548,55.000001,37.87242100480173,0.0,,74.70000060000001
2015-03-31,43.0226377688172,0.8775232672749178,67.14750847849463,1.815124585870604,0.6108378815841202,0.6115772772298327,380.31946916196233,245.86478303629303,1.1254552311827954,218.3749062399193,50.00743727083332,306.5990536633065,82.06737844354836,242.06431397580647,26.16639448924731,93.59485971061044,34.59451612903226,14.919869965053762,93.52159823454302,2.4946382244623657,1.1380550010794568,1.0007833642436659,94.64705346572583,25.774817113575274,0.8454174973703359,0.7142643387096775,16.741856857694305,76.85300285291616,0.0,85.49805813238521,0.0,0.0,0.0,84.38319003532635,5.9,73.72186808400187,0.0,,141.9000008
2015-04-30,37.2671048611111,0.8749897202510581,89.78716856736109,1.5935071812593298,0.5720394901502246,0.5686404253483736,387.9187121451389,305.17183807170056,1.1334413506944443,286.4623968534723,67.58273147083335,293.7599087590278,108.13772258888892,253.86640825972216,21.537337847222222,124.15810741188244,29.402221354166667,18.350554021527774,123.58742061319441,3.8194810701388873,1.1508169118906795,1.004617677073091,124.72086196388888,25.423772207638894,0.8228397776678028,0.8975660070833332,20.71849204592423,103.4396153659582,0.0,110.78118183593159,0.0,0.0,0.0,109.85823242835797,31.200001099999998,95.36147753348772,0.0,,195.70000430000002
2015-05-31,34.168547043010754,0.8579507013395089,111.71431714516129,1.8330399721540807,0.6264586736273269,0.6288414201167583,391.5161825456987,345.6489929647082,4.321283067204299,322.1828138662635,75.57634408669354,301.85941210819885,130.94765677352154,241.17622413978495,16.509780577956995,153.01568162730374,25.33916381048387,19.233339628360216,152.62841625873654,4.095747268145162,1.168014437743962,1.0025373084387557,156.94969932594083,26.05099397513441,0.8310496085357117,0.7280664233198926,22.561358351449943,130.4543232758538,0.0,142.72640024344824,0.0,0.0,0.0,143.2483877287639,0.0,122.67142949714993,0.0,,228.60000290000005
2015-06-30,30.44173854166667,0.8646744109260539,136.30339260000002,,0.503654490879444,0.5043756621465162,428.5516374360632,361.62094753520836,8.671921021527776,349.206105420977,77.22705938074715,330.4478317772988,142.84708284374997,,14.053972916666664,163.30684641489822,22.247855729166663,6.543690243750005,165.0060818649426,,1.142080913125686,0.9885203702651032,173.87524037356323,,0.8626434201887005,1.3969536553472222,7.039450314767475,156.26739610013072,0.0,167.22640058413816,0.0,0.0,0.0,166.65916410493207,3.4,145.3761384709495,5.0,,328.000002
2015-07-31,27.558338037634403,0.8569150196688794,113.2800990436828,2.478056663122011,0.5046721133932859,0.5039416332676034,430.606711627688,352.51663784356396,5.851759645833333,329.1919754307796,80.77137096975805,341.55772253024185,131.55347018481183,251.04753410788686,12.277153561827962,155.3612097726292,19.917745799731176,18.273371141129033,153.51985572110218,4.308674037202381,1.1764954992872978,1.0119942403728683,159.37161536693554,32.16166279315477,0.8813505282360218,1.3288376684139782,18.17814055222454,137.18306922040463,0.0,151.83163045416038,0.0,0.0,0.0,151.44958479656782,0.0,125.04957523390834,0.0,,309.4000036
2015-08-31,25.940251344086025,0.881923350943983,105.98994986827955,,0.44382453735706584,0.44486474303619705,425.11237011827956,318.54547482458855,6.6639195040322585,303.5915733030913,75.06760752553764,331.40921605712373,113.02455583064516,,10.660489919354838,127.9822886408704,18.300370631720426,7.034605962365593,128.1568922170699,,1.1323403119067608,0.9986375795075947,134.82081172110216,,0.9064687465588687,1.328199027688172,7.434404250196969,120.54788439067342,0.0,133.94207179309328,0.0,0.0,0.0,132.85816771402213,0.0,116.81611881325344,0.0,,301.500005
2015-09-30,24.938060416666676,0.8642162596534265,68.60294549791665,,0.3532844079966853,0.34750122881200374,417.05535817499987,264.47297011171617,4.367659663888887,234.21089647083335,60.62097222916667,341.20247267638894,80.69133557916668,,9.872181597222225,92.85060166600216,17.405121006944444,12.08839008125,93.36937910833335,,1.1574913995459062,0.9944438160852576,97.73703877222225,,0.8680866743990434,1.526337717986111,13.503536950625579,79.34706471537658,0.0,86.44406509270897,0.0,0.0,0.0,84.5121997909222,2.7,73.06626076515435,0.0,,249.6000033
2015-10-31,,,62.96312767607527,,0.48203169690878733,0.4823765680449253,,202.1735930909338,,,,,58.04187080712365,,,70.99353637059163,,-4.9212568689516125,,,1.211619868704703,,,,0.8753837199382899,,-5.722343255393439,76.71587962598507,0.0,85.58116540266099,247.0,0.0,0.0,84.31823706634599,2.5,69.19056554023851,245.0,,176.60000030000003
2015-11-30,,,26.913290081250004,,0.48987197032653335,0.5230330038618951,,151.46434941504066,,,,,42.63699611527779,,,47.44914709632441,,15.723706034027776,,,1.111476670951724,,,,0.8717778517994483,,17.43924665218989,30.00990044413453,0.0,32.360374941067015,172.0,0.0,0.0,31.72278808171646,36.9000001,28.449399760034787,175.0,,67.1000008
