date,theta_mean,H_PI_F,SWC_1_2_1,WS,NETRAD,LE_PI_F,vp,T_SONIC,LW_OUT,input_G,SW_IN,VPD_PI,SW_OUT,LW_IN,WD,SWC_1_1_1,G_subday_gaps,H_subday_gaps,Rn_subday_gaps,LE_subday_gaps,rso,flux,energy,flux_corr,ebr_5day_clim,H_corr,ebc_cf,ebr_corr,LE_corr,ebr,ET,ET_corr,gridMET_ETr,gridMET_prcp,ETrF,ETrF_filtered,ET_fill,ET_gap,ET_fill_val
2013-11-11,12.701213541666666,16.93561104166667,18.780947916666666,1.1948515625,28.121527333333333,17.473964750000004,1.6253960474324056,22.949813562499997,363.52390620833347,-1.5584621875000002,113.23612156249999,0.47341499583333335,24.493055562500007,302.9023676041667,224.07151508333325,6.621479166666668,0.0,0.0,0.0,0.0,156.33067539248742,34.409575791666676,29.679989520833335,34.68255279742621,0.873315387109054,17.06996411886973,1.0079331697493825,0.9921292700870684,17.61258867855648,1.1593526934203764,0.6170267273768122,0.6219217051449984,3.1000001,0.0,0.20061989841387376,0.28404726935705665,0.8805465634116025,False,
2013-11-12,12.73788020833333,13.956789749999999,18.81520833333333,1.651029604166667,38.11879952083334,25.918943604166667,1.658366063213103,25.24002504166666,376.02022014583326,1.3626475416666661,104.02600654166667,0.763703372916667,21.916666625,332.02967995833325,242.0349156458333,6.660552083333335,0.0,0.0,0.0,0.0,154.9287065341502,39.87573335416667,36.756151979166674,41.51387713181135,0.8731772580349102,14.530151701284803,1.041081220076759,0.9605398509890227,26.983725430526544,1.084872360326733,0.9172561290120586,0.954938129914759,3.0,0.0,0.31831270997158634,0.27324611693735557,0.8197383508120667,False,
2013-11-13,12.734843749999996,15.078456999999995,18.838812500000007,,38.48667795833334,29.506033312499998,,,378.0797074166666,1.2600862291666663,145.15503875,0.8933997833333335,31.66944447916667,303.0807910833333,,6.630875,0.0,0.0,0.0,0.0,153.5573239724067,44.584490312499995,37.22659172916667,47.99447718835066,0.8745813239069087,16.231713213487826,1.0764837021114184,0.928950431890977,31.762763974862835,1.197651685033752,1.038936366829952,1.1183980664232935,3.6000001000000004,0.0,0.31066612093241147,0.2563085984654979,0.9227109801066524,False,
2013-11-14,12.749395833333331,-1.816068229166664,18.879604166666663,2.557945666666667,8.331751395833326,17.870106416666665,1.730837041622385,24.18939825,372.20656960416665,-0.885404208333333,100.12815704166663,0.5190546812499998,21.648611125000006,302.0587749791666,221.50908843750005,6.619187499999998,0.0,0.0,0.0,0.0,152.2169958937381,16.0540381875,9.217155604166658,16.729620106653677,0.8743408406249332,-1.892491546792115,1.0420817436250835,0.9596176174445836,18.62211165344579,1.7417562290304287,0.6317706333383838,0.6583566431603862,3.8,0.0,0.17325174820010164,0.26125810159695917,0.9927807860684448,False,
2013-11-15,12.703791666666662,3.1190330833333344,18.85955208333333,3.759454958333333,24.56379731249999,28.36156277083332,1.2579500386611129,22.872997750000007,362.57541083333336,-4.987103500000001,143.08420858333332,0.8277624874999999,32.6305555625,276.6855550625,282.75577806250004,6.54803125,0.0,0.0,0.0,0.0,150.90817581828952,31.480595854166655,29.55090081249999,32.75144491815099,0.8738070177938823,3.2449462106722406,1.0403692823945112,0.9611971603952036,29.506498707478745,1.0653007180359932,1.0014066920782903,1.041832761622552,3.8,0.0,0.27416651621646104,0.2804193742555696,1.0655936221711646,False,
2013-11-16,12.617567708333333,20.25994087500001,18.79481249999999,2.033659854166667,34.559541729166675,22.218133583333326,1.3554083650827946,21.762952708333334,357.59329056250016,-4.357365999999999,139.05820206250002,0.5892431395833334,30.447222208333333,283.54185247916666,220.19189499999996,6.440322916666665,0.0,0.0,0.0,0.0,149.6313025979627,42.47807445833334,38.916907729166674,44.19288384171686,0.8733113961364883,21.077820149478985,1.0403692823945112,0.9611971603952036,23.11506369223788,1.0915069294289719,0.78365157394277,0.8152870256301687,3.3,0.0,0.24705667443338447,0.2815261401746555,0.9290362625763631,False,
2013-11-17,12.587947916666662,26.462939583333334,18.7659375,1.0590262500000003,47.323604249999995,19.94448295833333,1.4600429061004843,21.058076166666662,355.48146135416664,-5.4917518958333345,131.8548386875,0.39784123749999983,27.622222249999993,298.57244904166663,222.35423433333338,6.409958333333329,0.0,0.0,0.0,0.0,148.38680043645348,46.40742254166666,52.81535614583333,48.280856887452615,0.8727164184900107,27.531229464361807,1.0403692823945112,0.9611971603952036,20.749627423090807,0.8786729074310674,0.7029804854895678,0.7313593032261267,2.4,0.0,0.30473304301088616,0.33648158797353356,0.8075558111364806,False,
2013-11-18,12.532031250000003,14.011635145833333,18.717583333333334,1.9001655624999996,29.363995000000013,18.621897520833333,1.4972260555595251,20.523539437500002,355.3861416875001,-3.5284250208333323,92.94980000000004,0.3026449270833333,19.244444437500004,311.0447811458334,183.1861543541667,6.346479166666664,0.0,0.0,0.0,0.0,147.17507893046078,32.63353266666667,32.89242002083335,34.96886709448272,0.8731467132511411,15.01434160364461,1.07156241561924,0.9332167547348278,19.954525490838105,0.9921292700870684,0.6560257414584215,0.7029725282255893,2.1000001,0.0,0.33474880702414694,0.3636865612691056,0.7637418150337778,False,
2013-11-19,,9.592827541666665,,,28.94986022916667,13.003634770833335,,,370.22661318750005,2.75158595138889,53.771255249999996,,10.897222249999999,356.30244039583323,,,12.0,0.0,0.0,0.0,145.99653313121104,22.5964623125,26.19827427777778,24.137175420626356,0.8725736049487328,10.2469031634628,1.0681838195209017,0.9361684587663167,13.890272257163556,0.8625172052522195,0.45787073176894433,0.48909010710778117,1.5,1.8000001,0.32606007140518745,0.38339025643471186,0.5750853846520678,False,
2013-11-20,,-6.791321604166666,,,5.647858812499996,20.272308625,,,373.6284939583333,,25.906476562499993,,5.247222229166669,358.61709831250005,,,35.0,0.0,0.0,0.0,144.8515436253613,13.480987020833336,,14.44571901697579,0.8719010999235287,-7.277324983407965,1.07156241561924,0.9332167547348278,21.723044000383755,,0.7138078659048489,0.7648896810770144,1.1,21.6,0.6953542555245584,0.38880859402340406,0.4276894534257445,False,
